Date,Stock,Buy,Sell,PnL,Reason
2023-10-16,PAGEIND.NS,37962.166015625,37439.4296875,-1045.47265625,BEAR_ZONE
2023-10-18,PAGEIND.NS,37831.15234375,37147.19140625,-683.9609375,BEAR_ZONE
2023-10-20,ABB.NS,4128.1956578696645,3963.755126953125,-6742.0617675781195,TRAILING_STOP
2023-10-23,ACC.NS,2006.058379417242,1884.3448486328125,-10467.363647460928,BEAR_ZONE
2023-10-23,ADANIPORTS.NS,827.3205982949496,764.4351196289062,-13268.835998535147,TRAILING_STOP
2023-10-23,ADANIENT.NS,2458.2106833944517,2306.604248046875,-7428.71533203126,BEAR_ZONE
2023-10-23,ADANIPOWER.NS,69.44999694824219,63.290000915527344,-6646.635719299316,TRAILING_STOP
2023-10-27,ADANIPOWER.NS,63.290000915527344,70.83000183105469,8934.901084899902,TARGET_HIT
2023-11-01,AIAENG.NS,3378.168701171875,3647.464599609375,5924.509765625,TARGET_HIT
2023-11-02,ALKEM.NS,3446.4775390625,3698.489013671875,5292.240966796875,TARGET_HIT
2023-11-08,ABBOTINDIA.NS,21893.447265625,23591.625,11887.244140625,TARGET_HIT
2023-11-08,ABB.NS,3958.7627301897323,4220.66357421875,10999.835449218743,TARGET_HIT
2023-11-09,ADANIENT.NS,2257.947265625,2212.687255859375,-1493.580322265625,BEAR_ZONE
2023-11-13,ABBOTINDIA.NS,23591.625,22509.49609375,-3246.38671875,TRAILING_STOP
2023-11-15,APARINDS.NS,5075.876892089844,5554.2265625,15307.189453125,TARGET_HIT
2023-11-16,ADANIENT.NS,2223.427734375,2203.945068359375,-642.927978515625,BEAR_ZONE
2023-11-28,ADANIPORTS.NS,764.576375860917,830.0827026367188,14935.442504882803,TARGET_HIT
2023-11-28,ADANIPOWER.NS,78.38200721262176,89.23999786376953,24235.03513336183,TARGET_HIT
2023-11-29,ALKEM.NS,4441.6005859375,4454.32763671875,203.6328125,RSI_OVERBOUGHT
2023-12-04,ABB.NS,4226.830967047275,4571.30419921875,13434.45605468751,TARGET_HIT
