Date,Open,High,Low,Close,Volume,DMA_20,DMA_50,DMA_100,DMA_200,RSI_14,MACD,MACD_signal,Volume_Change_Pct,Bollinger_Upper,Bollinger_Middle,Bollinger_Lower,52W_High,52W_Low,Distance_to_52W_High,Distance_to_52W_Low
2024-04-04,1468.8780939901114,1468.8780939901114,1439.3466709144527,1452.1767578125,14490272,1451.607244873047,1441.9976245117186,1341.4500732421875,1269.9110211181642,50.74401659434221,6.538117544516126,5.928544745005432,106.75896495180281,1502.0205565035758,1451.607244873047,1401.1939332425181,1496.3250732421875,1005.7989501953124,-0.02950449485821179,0.4438042091120767
2024-04-05,1450.1417667351743,1459.9938949751336,1445.3025839763254,1449.3724365234375,7442298,1449.6169677734374,1443.8370092773437,1344.4101635742188,1271.4040856933593,49.94414290376063,5.459138655418201,5.834663527087986,-48.63934921304445,1496.9914761741315,1449.6169677734374,1402.2424593727433,1496.3250732421875,1020.133056640625,-0.03137863393347716,0.4207680332370859
2024-04-08,1452.226356281804,1480.0206375610207,1450.265891033407,1475.057373046875,8357118,1448.77197265625,1446.9618798828126,1347.5670483398437,1272.9548181152343,56.67956465895098,6.600513223887219,5.9878334664478325,12.292171047168488,1493.6316482400846,1448.77197265625,1403.9122970724154,1496.3250732421875,1020.133056640625,-0.014213288660083971,0.4459460591389422
2024-04-09,1478.060211901015,1478.8543827139297,1451.7549092714803,1452.896484375,7071414,1448.0138305664063,1449.3397802734376,1350.6281420898438,1274.393148803711,50.38063331936142,5.651712855286178,5.920609344215502,-15.384538066831176,1492.0489676052484,1448.0138305664063,1403.9786935275642,1496.3250732421875,1020.133056640625,-0.029023498732857478,0.4242225314798616
2024-04-10,1455.5766564963697,1476.0749645358123,1455.5766564963697,1468.7044677734375,9138330,1448.6578125,1451.8511938476563,1353.8257263183593,1275.853798828125,54.28352987918958,6.104979471724164,5.957483369717235,29.229175381331096,1493.500343618234,1448.6578125,1403.8152813817662,1496.3250732421875,1061.2861328125,-0.018458960531151557,0.38389113205620023
2024-04-12,1465.0317226594827,1475.5538200544618,1452.325715995779,1456.370849609375,15551012,1448.2471069335938,1452.2303881835937,1356.9014624023437,1277.3112127685547,50.918345828404796,5.406652101467216,5.847317116067232,70.17345620042175,1492.6468958707133,1448.2471069335938,1403.8473179964744,1496.3250732421875,1061.2861328125,-0.026701566622980535,0.3722697438341782
2024-04-15,1450.2658952456557,1471.2356878788278,1435.6986653849476,1454.062744140625,12902062,1449.867608642578,1453.3659814453124,1359.746405029297,1278.7449890136718,50.29003790199835,4.613792875394438,5.600612267932673,-17.033939656145847,1492.6010743534516,1449.867608642578,1407.1341429317044,1496.3250732421875,1061.2861328125,-0.028244082691196163,0.37009492462436405
2024-04-16,1442.6720371000315,1460.3661473678603,1440.2649265731254,1454.98095703125,9366184,1451.5687683105468,1454.1427319335937,1362.5794360351563,1280.1669219970704,50.551449131522816,4.013275787832981,5.283144971912735,-27.405526341448372,1492.2215265675395,1451.5687683105468,1410.9160100535541,1496.3250732421875,1061.2861328125,-0.027630437363021954,0.3709601134384228
2024-04-18,1452.7476380801534,1475.082330158598,1448.628103973215,1453.5665283203125,19005692,1453.8568359375,1454.8906958007813,1365.4238830566405,1281.6475189208984,50.114264856086045,3.3842179355908684,4.903359564648362,102.9182001976472,1489.2044460807151,1453.8568359375,1418.5092257942847,1496.3250732421875,1061.2861328125,-0.028575705698245905,0.36962736379889893
2024-04-19,1446.0720814485835,1463.1705049395248,1432.42310285773,1459.323974609375,15741778,1455.378076171875,1455.1373706054687,1368.3566760253907,1283.2042645263673,51.93640060820487,3.3120832204481303,4.585104295808316,-17.173349962737483,1488.8683398002197,1455.378076171875,1421.8878125435301,1496.3250732421875,1066.535888671875,-0.02472798143563801,0.36828398379226335
